Title,ID,Website URL,Sectors,Simplified Sector Mapping,Endorsed,Provider type 1,Provider type 2,Lead provider,Growth hub / Catapult,DEAD,Regions,Type of programme,One to watch,Support available,Programme costs,Offerings,Other delivery partners,Public funded,Year programme started,Lead contact name,Lead contact email,Thumbnail image,Filter,Categories,Themes,Copy,Locations_map_point_address,Locations_map_point_street_name,Locations_map_point_street_short_name,Locations_map_point_city,Locations_map_point_state,Locations_map_point_state_short,Locations_map_point_post_code,Locations_map_point_country,Co-ordinates
Accenture Fintech Lab,13141,https://www.fintechinnovationlab.com/regions/london/,Technology & Communications,Fintech,,Provider type>Private sector,,Accenture,,,International,Scaling firm focus,,Support for R&D and/or innovation,Free,Programme,,,2011,,fintechlondon@accenture.com,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/07/fintechinnovationlab-Logo-1.png,Support Offer,CONNECTING BUSINESSES WITH BUYERS OR CORPORATE/GOVERNMENT COLLABORATION,Access to Markets,"The FinTech Innovation Lab is a highly competitive, 12-week program that helps early to growth-stage enterprise technology companies refine and test their value proposition with the support of the world's leading financial service firms.",30 Fenchurch St,London,,,England,England,EC3M 3BD,United Kingdom,"51.51136,-0.08226"
ASCEND Scale Up Programme,,https://www.businessgrowthhub.com/programmes/ascend-scale-up/,Sector agnostic,Professional Services,,Provider type>Public/hybrid mix,,GM Business Growth Hub,,,North West,Scaling firm focus,,Leadership development/capacity building,Free,Programme,KPMG,,,,,,Ecosystem,REGIONAL GROWTH,Leadership,"The ASCEND Scale Up Programme is a 6-month programme tailored for local founders of high-growth businesses in Greater Manchester and help them rapidly scale. It includes workshops, personalised coaching and mentoring, funding opportunities and more. ",M1 5JW,Manchester,,,,,M1 5JW,,"53.474951, -2.243761"
Beyond,,https://gatherlcr.com/beyond,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA",Creative Industries,1,Provider type>Public/hybrid mix,,Gather,,,North West,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,,,,,Ecosystem,REGIONAL GROWTH,Leadership,"Beyond is a bespoke scaleup support programme delivering consultancy and executive coaching across 6 months.  

Beyond's objective is to accelerate growth ambitions by catering to digital, creative, and tech firms in  the Liverpool City Region with 10+ employees. The programme has supported 45 companies to date, including some of the region's fastest-growing  scaleups, including Milexa Group, Redwigwam and SupplyWell. 

Beyond is a pivotal component of Gather - a comprehensive business support and ecosystem development initiative. To date, Gather has supported over 180 digital, creative, and tech businesses  across the Liverpool City Region. 

As of 2024, 45 scaling businesses have been supported so far by Beyond, with 579 jobs created. Scaling businesses who have participated in the programme report an average 65% turnover growth and 50% of participating businesses reported an increase in headcount. 

Moving forward, 89% of participating businesses anticipate 20%+ growth over the next 5 years. 
.“Beyond is an excellent program, because it was bespoke to our specific business needs we were able to get  started on implementing plans and finding out what our strengths and weaknesses are almost straight away.  We had a lot of anxiety about the future after the Pandemic and had a challenging year, but being part of this program helped us look forward and plan what we wanted the future to look like and how to get there. The  sessions brought so many ideas and ways of working that we have chosen to keep working with consultant  and coach.” 
Jen Fenner, MD, DefProc 
“Beyond has been a really high quality business support to us at an exciting time in our business growth. It has  given me confidence in the values of my organisation and my ability to plan a future vision.” 
Su Stringfellow, Founder, Harrison Stringfellow 
“Thank you to the Gather team, who through the Beyond programme connected Hi-impact with Susanna. Her  experience and advice has supported hi-impact to implement key strategic objectives and realign the business'  vision and steps for growth.” 
Kylie Reid, MD, Hi Impact 
“Being part of Beyond has been significant for us and the success of our business. The attention to detail the  team gives to carefully select your growth consultant meant that we were matched with someone who aligned  with what support we needed and our business values.” 
Chelsea Slater, Founder, InnovateHer 
",,,,,,,L3 1BP,,"53.400588, -2.993145"
British Library: Get Ready for Business Growth,13199,https://www.bl.uk/bipc/,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA",Creative Industries,1,Provider type>Public/hybrid mix,,British Library,,,East Midlands|East of England|North East|North West|Scotland|South East|South West|West Midlands|Yorkshire & the Humber,ScaleUp Institute Endorsed/One to Watch,,Leadership development/capacity building,Free,Programme,,,,"Savory, Anna",Anna.Savory@bl.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/british-library-300x213-2.jpg,Support Offer,,Leadership,"Launched in 2022, the British Library’s Get Ready for Business Growth builds on the success and legacy of the SUI endorsed Innovating for Growth (I4G) programme – the British Library’s flagship scale-up offering.

As a direct continuation of the I4G programme with a much larger national reach, the three-month programme offers tailored scaleup support for businesses in the arts and culture sector across England and Scotland. It is funded by Arts Council England and has been designed and delivered by the British Library Business & Intellectual Property Centre (BIPC) and a number of private sector partners. The programme has tapped into the British Library’s BIPC National Network, consisting of 22 Business & IP Centres across the UK and a further 86 satellite services delivered through town libraries.

Get Ready for Business Growth has adopted I4G’s course structure and leverages its existing network of delivery partners along with two key learnings: the importance of assigned Relationship Managers and an emphasis on the British Library’s collections and customised business research. The overall programme consists of three streams; Get Ready for Business Growth: Scale-ups, Get Ready for Business Growth: Mentoring and Get Ready for Business Growth: Start-ups and is delivered completely virtually.

The programme, which is delivered to cohorts of c. 25 creative business leaders, consists of 8 workshops and 8 one to one bespoke sessions totalling 32 hours of support. The one to one sessions cover support in strategy development, fundraisings, testing and launching new products, protecting their IP, research competitors and many more. Each participant is paired with a Relationship Manager who oversees their engagement, acts as a counsellor and refers them to relevant services support. Additionally, they receive a personalised research report drawing on the Library’s world-leading collections and are trained in the use of the BIPC’s extensive market research resources.

Get Ready for Business Growth graduates benefit from access to the ‘Growth Club’, an existing community of over 700 leaders, first established as part of I4G; and ongoing engagement with their relationship manager enables their progress to be tracked and the measurement of business outcomes, while also providing ongoing support.

In its first year, the programme reported positive impact outperforming I4G’s first year in terms of number of scaleup businesses supported, jobs created and new products, processes and services generated, as well as the number of mentors trained. So far, the ‘Get Ready for Business Growth: Scale-ups’ stream has helped 98 creative scaling businesses, with so far 23% of them creating 56 new jobs. As a result of the programme’s learnings, participants have created and implemented 68 new products, processes and services in the first three quarters. 40 graduate mentors were trained with accreditation from the Institute of Leadership & Management (ILM) and all participants have been signposted to continuing accelerators and business hubs as part of offboarding from the programme.
<blockquote><span style=""font-family: inherit;"">""I feel very bittersweet about graduating because it's been such a transformative experience for our business. Running your own business can be a lonely place, but this programme provided us with the opportunity to meet like-minded people and receive invaluable feedback from experts in their respective fields. We feel more determined than ever to grow and reach new heights thanks to Get Ready for Business Growth.”</span></blockquote>
Dana - Codex Anatomy
<blockquote>""We LOVED being a part of this course. It has been intense at times but we realised how much our mindset has changed in the past three months. I feel like our purpose and drive has come back. Things that felt overwhelming and complicated at the start of the programme like auditing our suppliers and measuring our marketing activities now feel achievable and we are really excited to input more that we have learnt into our strategy for 2023.”</blockquote>
Bee and Amy - Aarven",96 Euston Road,London,,,England,England,NW1 2DB,United Kingdom,"51.52999,-0.12701"
Clean Growth UK,13239,https://www.clean-growth.uk/,Environmental Science & Technology,Net Zero,,Provider type>Public/hybrid mix,Provider type>University/Business School,Clean Growth UK,,,North West|South East|South West,Scaling firm focus,,Financial support/access|Skills training|Support for R&D and/or innovation,Free,Service,,1,,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2022/11/CleanGrowth.png,Ecosystem,"SECTORAL DEVELOPMENT, INCREASING PRODUCTIVITY, REGIONAL GROWTH",Infrastructure,"The Clean Growth programme helps early-stage and scaling businesses develop clean and green products, services and processes through access to research expertise and facilities, free expert workshops and business resources and funding opportunities. The programme operates across the North West, South West and South East through regional university hubs.","University of Brighton, Watts Building|University of Portsmouth, 0.08a Lion Gate Building, Lion Terrace",||,||,|Brighton and Hove|,England|England|England,England|England|England,PO1 3HF,United Kingdom|United Kingdom|United Kingdom,"50.79893,-1.09834"
Create Growth Programme,13276,https://iuk.ktn-uk.org/programme/create-growth/#page_top,"CREATIVE, DIGITAL, FILM, GAMES & MEDIA
",Creative Industries,,Provider type>Innovate UK,Provider type>Public/hybrid mix,Various (depending on region),,,North West|East of England|North East|South West|East Midlands|Yorkshire and The Humber|West Midlands,Scaling firm focus,,Access to peer networks|Leadership development/capacity building|Skills training,Free,Programme,,1,2022,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2024/03/Create-growth-programme.png,Ecosystem,REVENUE GROWTH FOR BUSINESSES,Leadership,"The Create Growth Programme was launched in 2022 by the Department for Culture, Media & Sport (DCMS) in partnership with Innovate UK. It is designed to support the development of creative industries with high-growth potential and is delivered across different regions in England, outside of London. It aims to drive innovation and investment in the sector and supports early-stage and scaling businesses stimulate growth and attract private investment.

The programme was initially a £17.5 million investment in the sector, with up to £7 million provided by Innovate UK, and in July 2023, the previous government published its Sector vision in which it announced an additional £10.9 million to support a further six regions. Innovate UK provided another £6.92 million for the grant funding competition. Eligible businesses in Create Growth regions can apply to Innovate UK for grants and investor partnerships.",,Great Bridgewater Street,,,England,England,SN2 1FL,United Kingdom,"51.56673,-1.78476"
Creative Enterprise,2482,https://www.wearecreative.uk/support/creative-enterprise/,"Creative, digital, film, games & media",Creative Industries,,Provider type>Public/hybrid mix,,Creative UK,,,UK,Scaling firm focus,,Access to peer networks|Financial support/access|Leadership development/capacity building|Skills training,Free,Service,National Lottery,1,2021,Haley Edwards,creativeenterprise@creativeengland.co.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/Creative-UK-logo.png,Support Offer,,Leadership,"Creative Enterprise aims to bring together companies who work in moving image for storytelling, spanning film and television, games and technology, to build meaningful connections and create opportunities for business growth. It provides a network and training for business leaders through events and bespoke workshops led by industry leaders and mentors. Creative Enterprise has been developed with National Lottery funding from the BFI, to make the moving image sector sustainable through creating new business opportunities through training and building of networks, whilst growing and scaling existing businesses.",|,|Victoria Street,|,|,England|England,England|England,M50 2AB,United Kingdom|United Kingdom,"53.47368,-2.30176"
EarthScale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
EM3 Growth Hub,2554,https://www.enterprisem3growthhub.co.uk/,Defence & Security|Engineering / Advanced Engineering|Life Sciences & Biotech|Technology & Communications,Advanced Manufacturing,,Provider type>Public/hybrid mix,,EM3 Growth Hub,1,1,South East,Scaling firm focus,,Access to corporate collaboration|Access to talent and skills|Financial support/access|Leadership development/capacity building|Skills training|Support for R&D and/or innovation|Support to enter international markets,Free,Service,,,,,info@enterprisem3.org.uk,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2019/11/enterprisem3.png,Ecosystem,,Leadership,"The Enterprise M3 Growth Hub is an expert advice and resource network which helps businesses achieve results quickly through a free personal, tailored service focused on Growth, aimed at businesses looking to succeed in the Enterprise M3 area. Delivered by UMi with its expert partners, SETsquared, Business South and the County Councils of Hampshire and Surrey, the Enterprise M3 Growth Hub is driving impact by working in new ways based on what businesses tell us they need, to help them fulfil their potential.",,,,,England,England,RG21 4HG,United Kingdom,"51.26805,-1.07419"
FastFutures: Avado Learning,15149,https://www.fastfutures.com/,Technology & Communications,Technology,,Provider type>Private sector,,Fast Futures,,,UK,Scaling firm focus,,Access to talent and skills|Skills training,Free,Service,,,2020,,,https://v2-scaleup-institute.pantheonsite.io/wp-content/uploads/2023/02/fast-futures-logo.png,Support offer,"ATTRACTION OF TALENT/SKILLS
",Talent and Skills,"Avado is a professional academy that helps people and businesses through interactive learning experiences in data, marketing, people and agility. FastFutures Apprenticeships and Skills Bootcamps offer role-specific training, career coaching, and mentoring sessions that unlock potential for individuals and organisations.",,"White City Campus, 58 Wood Lane",London,,England,England,W12 7RZ,United Kingdom,"51.51373,-0.22342"
